name,id,phone number,department,College,grade
Shruti,1,9876556031,General,Jain,3.37
Ashish,2,9876595269,General,Jain,3.01
Geeta,3,9876516392,General,Jain,3.51
Saurabh,4,9876550575,General,Jain,2.92
Nisha,5,9876551248,General,Jain,3.96
Saurabh,6,9876588250,General,Jain,3.97
Kapil,7,9876585581,General,Jain,3.47
Swati,8,9876536438,General,Jain,2.72
Sameer,9,9876528322,General,Jain,3.23
Smita,10,9876582417,General,Jain,2.76
Vikas,11,0,General,Jain,2.94
Sameer,12,0,General,Jain,3.06
Supriya,13,9876551208,General,Jain,3.7
Preeti,14,9876519530,General,Jain,3.71
Seema,15,9876513762,General,Jain,3.23
Rahul,16,9876566556,SCT,Jain,2.76
Saurabh,17,9876583698,SCT,Jain,2.86
Rahul,18,9876549673,SCT,Jain,3.69
Sneha,19,9876583109,SCT,Jain,2.64
Alok,20,9876550102,SCT,Jain,3.76
Jyoti,21,9876527506,SCT,Jain,3.45
Kiran,22,9876514651,SCT,Jain,3.54
Sunita,23,9876578898,SCT,Jain,3.16
Preeti,24,9876516468,SCT,Jain,2.98
Arti,25,9876531161,SCT,Jain,3.7
Bharat,26,9876583491,ISMS,Jain,2.89
Vikram,27,9876582559,ISMS,Jain,3.05
Ajay,28,9876562077,ISMS,Jain,2.71
Kapil,29,9876526242,ISMS,Jain,3.56
Meena,30,9876511361,ISMS,Jain,3.87
Mohit,31,9876559402,ISMS,Jain,3.63
Megha,32,9876571075,ISMS,Jain,3.66
Yogesh,33,9876536474,ISMS,Jain,2.67
Rekha,34,0,ISMS,Jain,3.23
Rekha,35,9876540851,ISMS,Jain,3.92
Alok,36,9876561982,AIML,Jain,3.2
Nitin,37,9876528711,AIML,Jain,2.72
Smita,38,9876575369,AIML,Jain,3.58
Amit,39,9876510335,AIML,Jain,2.57
Vikram,40,9876559529,AIML,Jain,2.72
Radha,41,9876564712,AIML,Jain,3.21
Sameer,42,9876552513,AIML,Jain,2.55
Lata,43,0,AIML,Jain,3.36
Pooja,44,9876537693,AIML,Jain,2.8
Rohan,45,9876586480,AIML,Jain,3.6
Mohit,46,9876528660,AIML,Jain,3.66
Meena,47,9876560861,AIML,Jain,3.58
Arti,48,9876527736,AIML,Jain,3.03
Kunal,49,0,AIML,Jain,2.93
Neha,50,9876523443,AIML,Jain,2.87
